stop_id,stop_name,stop_lat,stop_lon,zone_id
"at:49:734:0:1","Kärntner Straße","48.20369756","16.36976586","0100"
"at:49:735:0:1","Oberlaa, Friedhof","48.13824638","16.40493491","0100"
"at:49:736:0:2","Kölblgasse","48.19133863","16.38568401","0100"
"at:49:736:0:4","Kölblgasse","48.19088948","16.38574689","0100"
"at:49:737:0:1","Stiegengasse","48.19865016","16.35744098","0100"
"at:49:737:0:2","Stiegengasse","48.19844058","16.35711758","0100"
"at:49:74:0:1","Anzengruberstraße","48.21398840","16.22378963","0100"
"at:49:740:0:1","Lainzer Tor","48.16695334","16.25710814","0100"
"at:49:741:0:1","Lamezanstraße","48.14056032","16.33687854","0100"
"at:49:741:0:2","Lamezanstraße","48.14068620","16.33711210","0100"
"at:49:742:0:2","Landesgerichtsstraße","48.21443734","16.35705470","0100"
"at:49:742:0:4","Landesgerichtsstraße","48.21466480","16.35549163","0100"
"at:49:743:0:11","Mitte-Landstraße","48.20612229","16.38426467","0100"
"at:49:743:0:12","Mitte-Landstraße","48.20573314","16.38566604","0100"
"at:49:743:0:13","Mitte-Landstraße","48.20689458","16.38489349","0100"
"at:49:743:0:2","Mitte-Landstraße","48.20555353","16.38536062","0100"
"at:49:743:0:3","Mitte-Landstraße","48.20691853","16.38479468","0100"
"at:49:743:0:4","Mitte-Landstraße","48.20578702","16.38569299","0100"
"at:49:743:0:7","Mitte-Landstraße","48.20621209","16.38433654","0100"
"at:49:743:0:8","Mitte-Landstraße","48.20602650","16.38564808","0100"
"at:49:744:0:1","Lafitegasse","48.17619128","16.26751962","0100"
"at:49:744:0:2","Lafitegasse","48.17501716","16.26813945","0100"
"at:49:745:0:1","Landwehrstraße","48.16885258","16.47037717","0100"
"at:49:745:0:2","Landwehrstraße","48.16920007","16.47078142","0100"
"at:49:746:0:1","Veitschiweg","48.22619225","16.44058904","0100"
"at:49:746:0:2","Veitschiweg","48.22615036","16.44044531","0100"
"at:49:747:0:1","Lange Gasse","48.21456305","16.35106294","0100"
"at:49:747:0:2","Lange Gasse","48.21502994","16.35137735","0100"
"at:49:747:0:5","Lange Gasse","48.21527536","16.35091921","0100"
"at:49:747:0:6","Lange Gasse","48.21499403","16.35045208","0100"
"at:49:748:0:1","Langfeldgasse","48.26977077","16.44350856","0100"
"at:49:748:0:2","Langfeldgasse","48.26983057","16.44298754","0100"
"at:49:749:0:1","Langobardenstraße","48.22465421","16.45497107","0100"
"at:49:749:0:2","Langobardenstraße","48.22428915","16.45515073","0100"
"at:49:749:0:5","Langobardenstraße","48.22542025","16.45318342","0100"
"at:49:749:0:6","Langobardenstraße","48.22482178","16.45492615","0100"
"at:49:749:0:7","Langobardenstraße","48.22424127","16.45457581","0100"
"at:49:75:0:1","Apostelgasse","48.20041650","16.39830534","0100"
"at:49:75:0:2","Apostelgasse","48.20035663","16.39820652","0100"
"at:49:750:0:1","Langsulzgasse","48.15790549","16.39991332","0100"
"at:49:750:0:2","Langsulzgasse","48.15794744","16.39959891","0100"
"at:49:751:0:1","Lannesstraße","48.21468276","16.50999288","0100"
"at:49:751:0:2","Lannesstraße","48.21491621","16.50978627","0100"
"at:49:751:0:3","Lannesstraße","48.21513170","16.51038814","0100"
"at:49:751:0:4","Lannesstraße","48.21520951","16.51058577","0100"
"at:49:753:0:1","Laudongasse","48.21309050","16.34957174","0100"
